lake,fa,ff,pa,pp,ps,sum
Lake Baldegg,37.9,54.3,2.4,5.4,0.0,100.0
Lake Bienne,44.8,23.9,2.2,29.1,0.0,100.0
Lake Constance,55.0,9.6,2.2,33.2,0.1,100.0
Lake Geneva,49.1,4.8,0.8,43.0,2.3,100.0
Lake Hallwil,63.9,19.0,0.7,16.4,0.0,100.0
Lake Lucerne,37.8,26.4,1.6,31.9,2.3,100.0
Lake Lugano,31.9,6.5,2.8,48.5,10.4,100.0
Lake Maggiore,40.9,26.7,1.3,28.6,2.4,100.0
Lake Murten,49.6,12.1,4.9,33.5,0.0,100.0
Lake Neuenburg,45.4,38.1,0.5,16.1,0.0,100.0
Lake Sempach,21.2,33.3,6.0,39.5,0.0,100.0
Lake Thun,46.4,14.2,1.8,33.4,4.2,100.0
Lake Zug,41.9,16.4,0.9,36.5,4.4,100.0
Lake Zurich,38.8,10.8,2.9,46.0,1.6,100.0
